time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-20T02:03:19.915Z,-20.4037,-68.9309,114.213,4.5,mb,30,60,0.772,0.71,us,us6000lgse,2023-10-20T04:58:07.306Z,"76 km E of La Tirana, Chile",earthquake,5.91,6.807,0.113,23,reviewed,us,us
2023-10-20T00:04:24.677Z,12.4098,143.3744,35,5.8,mww,118,28,1.87,0.57,us,us6000lgrt,2023-10-23T00:14:42.010Z,"169 km SW of Merizo Village, Guam",earthquake,8.16,1.825,0.089,12,reviewed,us,us
2023-10-19T23:33:32.319Z,-49.4107,30.3424,10,4.9,mb,36,72,14.725,0.41,us,us6000lgrl,2023-10-20T00:07:50.040Z,"south of Africa",earthquake,5.7,1.876,0.094,35,reviewed,us,us
2023-10-19T22:43:32.060Z,29.6291,52.0528,10,4.7,mb,73,65,5.95,0.54,us,us6000lgre,2023-10-21T13:32:23.727Z,"38 km E of Kāzerūn, Iran",earthquake,8.33,1.877,0.074,55,reviewed,us,us
2023-10-19T20:51:14.951Z,-27.4298,-66.296,10,4.6,mb,79,53,3.502,0.71,us,us6000lgqp,2023-10-21T15:21:01.040Z,"Catamarca, Argentina",earthquake,6.72,1.81,0.087,40,reviewed,us,us
2023-10-19T18:58:51.334Z,7.4507,126.3499,10.34,5.9,mww,150,24,0.853,0.54,us,us6000lgpg,2023-10-20T19:03:53.563Z,"Mindanao, Philippines",earthquake,6.39,3.057,0.052,35,reviewed,us,us
2023-10-19T14:34:36.161Z,-2.9144,139.6263,10,4.6,mb,18,84,1.146,0.51,us,us6000lgn2,2023-10-19T14:52:47.040Z,"117 km WSW of Abepura, Indonesia",earthquake,7.64,1.892,0.137,16,reviewed,us,us
2023-10-19T14:08:24.767Z,-7.8699,107.2083,59.726,5.2,mww,45,89,0.596,1.11,us,us6000lglx,2023-10-20T09:02:22.937Z,"78 km SSW of Banjar, Indonesia",earthquake,6.83,6.007,0.093,11,reviewed,us,us
2023-10-19T09:04:53.669Z,-9.4371,113.3696,47.137,4.6,mb,30,112,1.233,0.53,us,us6000lgje,2023-10-19T10:27:32.040Z,"127 km S of Kencong, Indonesia",earthquake,4.54,8.826,0.145,14,reviewed,us,us
2023-10-19T07:12:13.988Z,42.4638,49.3405,10,4.5,mb,58,74,2.731,0.73,us,us6000lgix,2023-10-19T07:49:06.040Z,"97 km ENE of Derbent, Russia",earthquake,8.1,1.926,0.076,68,reviewed,us,us
2023-10-19T05:30:47.192Z,14.5904,40.6631,10,4.5,mb,28,72,3.712,0.81,us,us6000lgih,2023-10-19T05:57:59.040Z,"Eritrea - Ethiopia region",earthquake,11.02,1.932,0.124,20,reviewed,us,us
2023-10-19T05:23:18.091Z,12.4644,-87.989,63.394,4.6,mb,53,183,0.973,0.72,us,us6000lgie,2023-10-19T05:45:37.040Z,"66 km WSW of Jiquilillo, Nicaragua",earthquake,6.71,9.156,0.03,323,reviewed,us,us
2023-10-19T03:51:56.263Z,25.9341,128.4448,10,5,mww,57,80,0.911,0.89,us,us6000lgi4,2023-10-19T04:43:32.369Z,"Ryukyu Islands, Japan",earthquake,3.75,1.883,0.083,14,reviewed,us,us
2023-10-19T00:48:37.948Z,30.8559,141.618,10,4.7,mb,41,129,2.725,0.8,us,us6000lghk,2023-10-19T01:09:53.040Z,"Izu Islands, Japan region",earthquake,11.78,1.912,0.108,26,reviewed,us,us
